"id","start_date","start_time","end_date","end_time"
"111100060","2020-10-15 Thu","18:15:33","2020-10-15 Thu","18:54:13"
"111100060","2020-10-15 Thu","22:24:02","2020-10-15 Thu","22:47:33"
"111100060","2020-10-16 Fri","00:18:41","2020-10-16 Fri","01:48:49"
"111100060","2020-10-16 Fri","13:43:03","2020-10-16 Fri","14:07:23"
"112300050","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:51:30"
"112300060","2020-10-15 Thu","20:46:27","2020-10-15 Thu","21:37:21"
"112900060","2020-10-15 Thu","16:51:30","2020-10-15 Thu","17:29:33"
"112900060","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:24:02"
"112900060","2020-10-15 Thu","23:33:37","2020-10-16 Fri","00:18:41"
"113050020","2020-10-16 Fri","01:48:49","2020-10-16 Fri","13:43:03"
"113200040","2020-10-15 Thu","16:19:15",\t,\t
"114400060","2020-10-15 Thu","16:51:30","2020-10-15 Thu","22:24:02"
"114400060","2020-10-16 Fri","01:48:49","2020-10-16 Fri","13:58:44"
"114700030","2020-10-15 Thu","18:07:46","2020-10-15 Thu","18:15:33"
"115000040","2020-10-15 Thu","18:31:30","2020-10-15 Thu","19:09:04"
"115000090","2020-10-15 Thu","16:19:15","2020-10-16 Fri","02:10:10"
"115300020","2020-10-15 Thu","16:19:15",\t,\t
"115300070","2020-10-15 Thu","16:19:15",\t,\t
"115300080","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:58:49"
"115300080","2020-10-15 Thu","19:46:11","2020-10-15 Thu","20:46:27"
"115300080","2020-10-15 Thu","22:24:02","2020-10-15 Thu","22:47:33"
"115300080","2020-10-16 Fri","15:58:56",\t,\t
"115450010","2020-10-15 Thu","16:19:15",\t,\t
"115450050","2020-10-15 Thu","21:14:06","2020-10-15 Thu","22:00:08"
"115450060","2020-10-15 Thu","22:24:02","2020-10-15 Thu","23:55:13"
"115450060","2020-10-16 Fri","00:18:41","2020-10-16 Fri","00:40:11"
"115600050","2020-10-15 Thu","16:51:30","2020-10-15 Thu","17:36:57"
"115600050","2020-10-15 Thu","23:33:37","2020-10-15 Thu","23:55:13"
"115900060","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:15:33"
"116200070","2020-10-15 Thu","17:44:24","2020-10-15 Thu","18:23:40"
"116200070","2020-10-15 Thu","22:47:33","2020-10-16 Fri","01:03:24"
"116200070","2020-10-16 Fri","14:22:43","2020-10-16 Fri","14:40:47"
"116500050","2020-10-15 Thu","21:14:06","2020-10-15 Thu","22:00:08"
"116800010","2020-10-16 Fri","02:10:10","2020-10-16 Fri","13:43:03"
"116800130","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:29:33"
"116800130","2020-10-15 Thu","20:31:48","2020-10-15 Thu","20:46:27"
"116800130","2020-10-16 Fri","01:03:24","2020-10-16 Fri","01:25:11"
"116800130","2020-10-16 Fri","14:15:22","2020-10-16 Fri","14:40:47"
"262600020","2020-10-15 Thu","18:07:46","2020-10-15 Thu","18:31:30"
"262600020","2020-10-15 Thu","19:38:45","2020-10-15 Thu","20:16:24"
"262600020","2020-10-15 Thu","20:23:54","2020-10-15 Thu","20:46:27"
"262600020","2020-10-16 Fri","15:58:56",\t,\t
"263800020","2020-10-15 Thu","17:05:39","2020-10-15 Thu","17:13:03"
"263800020","2020-10-15 Thu","19:53:33","2020-10-15 Thu","20:01:26"
"264400040","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:52:20"
"264400040","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:38:52"
"264400040","2020-10-15 Thu","18:46:48","2020-10-15 Thu","19:23:57"
"264400040","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:24:02"
"264400040","2020-10-16 Fri","15:58:56",\t,\t
"264700040","2020-10-15 Thu","17:05:39","2020-10-15 Thu","17:44:24"
"265300040","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:51:30"
"265300040","2020-10-15 Thu","20:16:24","2020-10-15 Thu","20:23:54"
"265300040","2020-10-16 Fri","13:58:44","2020-10-16 Fri","14:07:23"
"267100010","2020-10-15 Thu","16:43:50","2020-10-15 Thu","17:05:39"
"267100010","2020-10-15 Thu","20:46:27","2020-10-15 Thu","21:37:21"
"267100010","2020-10-15 Thu","22:24:02",\t,\t
"267100030","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:58:49"
"272300050","2020-10-15 Thu","16:19:15",\t,\t
"272600050","2020-10-15 Thu","16:19:15","2020-10-15 Thu","20:39:00"
