,cid,week,day,time,use,sid,gu
0,0,2,1007,12,1,50110001,연동
1,0,2,1007,13,0,50110001,연동
2,0,2,1007,14,1,50110001,연동
3,0,2,1007,14,0,50110001,연동
4,0,2,1007,15,0,50110001,연동
5,0,2,1007,16,0,50110001,연동
6,0,2,1007,17,0,50110001,연동
7,0,2,1007,18,0,50110001,연동
8,0,2,1007,19,1,50110001,연동
9,0,2,1007,20,0,50110001,연동
10,0,2,1007,21,0,50110001,연동
11,0,2,1007,22,1,50110001,연동
12,0,2,1007,22,0,50110001,연동
13,0,2,1007,23,0,50110001,연동
14,0,3,1008,0,0,50110001,연동
15,0,3,1008,1,0,50110001,연동
16,0,3,1008,2,0,50110001,연동
17,0,3,1008,3,0,50110001,연동
18,0,3,1008,4,0,50110001,연동
19,0,3,1008,5,0,50110001,연동
20,0,3,1008,6,0,50110001,연동
21,0,3,1008,7,0,50110001,연동
22,0,3,1008,8,0,50110001,연동
23,0,3,1008,9,0,50110001,연동
24,0,3,1008,10,0,50110001,연동
25,0,3,1008,11,0,50110001,연동
26,0,3,1008,12,0,50110001,연동
27,0,3,1008,13,0,50110001,연동
28,0,3,1008,14,0,50110001,연동
29,0,3,1008,15,0,50110001,연동
30,0,3,1008,16,0,50110001,연동
31,0,3,1008,17,0,50110001,연동
32,0,3,1008,18,0,50110001,연동
33,0,3,1008,19,0,50110001,연동
34,0,3,1008,20,0,50110001,연동
35,0,3,1008,21,0,50110001,연동
36,0,3,1008,22,0,50110001,연동
37,0,3,1008,23,0,50110001,연동
38,0,4,1009,0,0,50110001,연동
39,0,4,1009,1,0,50110001,연동
40,0,4,1009,2,0,50110001,연동
41,0,4,1009,3,0,50110001,연동
42,0,4,1009,4,0,50110001,연동
43,0,4,1009,5,0,50110001,연동
44,0,4,1009,6,0,50110001,연동
45,0,4,1009,7,0,50110001,연동
46,0,4,1009,8,0,50110001,연동
47,0,4,1009,9,0,50110001,연동
48,0,4,1009,10,0,50110001,연동
49,0,4,1009,11,0,50110001,연동
50,0,4,1009,12,0,50110001,연동
