,cid,week,day,time,use,sid,gu
3866,21,1,1006,16,1,50110083,하효동
3867,21,1,1006,16,1,50110083,하효동
3868,21,1,1006,16,0,50110083,하효동
3869,21,1,1006,17,0,50110083,하효동
3870,21,1,1006,18,0,50110083,하효동
3871,21,1,1006,19,0,50110083,하효동
3872,21,1,1006,20,0,50110083,하효동
3873,21,1,1006,21,0,50110083,하효동
3874,21,1,1006,22,0,50110083,하효동
3875,21,1,1006,23,0,50110083,하효동
3876,21,2,1007,0,0,50110083,하효동
3877,21,2,1007,1,0,50110083,하효동
3878,21,2,1007,2,0,50110083,하효동
3879,21,2,1007,3,0,50110083,하효동
3880,21,2,1007,4,0,50110083,하효동
3881,21,2,1007,5,0,50110083,하효동
3882,21,2,1007,6,0,50110083,하효동
3883,21,2,1007,7,0,50110083,하효동
3884,21,2,1007,8,0,50110083,하효동
3885,21,2,1007,9,0,50110083,하효동
3886,21,2,1007,10,1,50110083,하효동
3887,21,2,1007,10,1,50110083,하효동
3888,21,2,1007,10,0,50110083,하효동
3889,21,2,1007,11,0,50110083,하효동
3890,21,2,1007,12,1,50110083,하효동
3891,21,2,1007,12,0,50110083,하효동
3892,21,2,1007,13,1,50110083,하효동
3893,21,2,1007,13,0,50110083,하효동
3894,21,2,1007,14,1,50110083,하효동
3895,21,2,1007,14,0,50110083,하효동
3896,21,2,1007,15,1,50110083,하효동
3897,21,2,1007,15,0,50110083,하효동
3898,21,2,1007,16,0,50110083,하효동
3899,21,2,1007,17,0,50110083,하효동
3900,21,2,1007,18,0,50110083,하효동
3901,21,2,1007,19,0,50110083,하효동
3902,21,2,1007,20,0,50110083,하효동
3903,21,2,1007,21,0,50110083,하효동
3904,21,2,1007,22,0,50110083,하효동
3905,21,2,1007,23,0,50110083,하효동
3906,21,3,1008,0,0,50110083,하효동
3907,21,3,1008,1,0,50110083,하효동
3908,21,3,1008,2,0,50110083,하효동
3909,21,3,1008,3,0,50110083,하효동
3910,21,3,1008,4,0,50110083,하효동
3911,21,3,1008,5,0,50110083,하효동
3912,21,3,1008,6,0,50110083,하효동
3913,21,3,1008,7,0,50110083,하효동
3914,21,3,1008,8,1,50110083,하효동
3915,21,3,1008,9,0,50110083,하효동
3916,21,3,1008,10,1,50110083,하효동
3917,21,3,1008,11,1,50110083,하효동
3918,21,3,1008,12,1,50110083,하효동
3919,21,3,1008,12,0,50110083,하효동
3920,21,3,1008,13,0,50110083,하효동
3921,21,3,1008,14,1,50110083,하효동
3922,21,3,1008,14,0,50110083,하효동
3923,21,3,1008,15,0,50110083,하효동
3924,21,3,1008,16,0,50110083,하효동
3925,21,3,1008,17,0,50110083,하효동
3926,21,3,1008,18,0,50110083,하효동
3927,21,3,1008,19,0,50110083,하효동
3928,21,3,1008,20,0,50110083,하효동
3929,21,3,1008,21,0,50110083,하효동
3930,21,3,1008,22,0,50110083,하효동
3931,21,3,1008,23,0,50110083,하효동
3932,21,4,1009,0,0,50110083,하효동
3933,21,4,1009,1,0,50110083,하효동
3934,21,4,1009,2,0,50110083,하효동
3935,21,4,1009,3,0,50110083,하효동
3936,21,4,1009,4,0,50110083,하효동
3937,21,4,1009,5,0,50110083,하효동
3938,21,4,1009,6,0,50110083,하효동
3939,21,4,1009,7,0,50110083,하효동
3940,21,4,1009,8,0,50110083,하효동
3941,21,4,1009,9,0,50110083,하효동
3942,21,4,1009,10,0,50110083,하효동
3943,21,4,1009,11,0,50110083,하효동
3944,21,4,1009,12,0,50110083,하효동
3945,21,4,1009,13,0,50110083,하효동
3946,21,4,1009,14,0,50110083,하효동
3947,21,4,1009,15,0,50110083,하효동
3948,21,4,1009,16,0,50110083,하효동
3949,21,4,1009,17,0,50110083,하효동
3950,21,4,1009,18,0,50110083,하효동
3951,21,4,1009,19,0,50110083,하효동
3952,21,4,1009,20,0,50110083,하효동
3953,21,4,1009,21,0,50110083,하효동
3954,21,4,1009,22,0,50110083,하효동
3955,21,4,1009,23,0,50110083,하효동
3956,21,5,1010,0,0,50110083,하효동
3957,21,5,1010,1,0,50110083,하효동
3958,21,5,1010,2,0,50110083,하효동
3959,21,5,1010,3,0,50110083,하효동
3960,21,5,1010,4,0,50110083,하효동
3961,21,5,1010,5,0,50110083,하효동
3962,21,5,1010,6,0,50110083,하효동
3963,21,5,1010,7,0,50110083,하효동
3964,21,5,1010,8,0,50110083,하효동
3965,21,5,1010,9,0,50110083,하효동
3966,21,5,1010,10,0,50110083,하효동
3967,21,5,1010,11,0,50110083,하효동
3968,21,5,1010,12,0,50110083,하효동
3969,21,5,1010,13,0,50110083,하효동
3970,21,5,1010,14,0,50110083,하효동
3971,21,5,1010,15,0,50110083,하효동
3972,21,5,1010,16,0,50110083,하효동
3973,21,5,1010,17,0,50110083,하효동
3974,21,5,1010,18,0,50110083,하효동
3975,21,5,1010,19,0,50110083,하효동
3976,21,5,1010,20,0,50110083,하효동
3977,21,5,1010,21,0,50110083,하효동
3978,21,5,1010,22,0,50110083,하효동
3979,21,5,1010,23,0,50110083,하효동
3980,21,6,1011,0,0,50110083,하효동
3981,21,6,1011,1,0,50110083,하효동
3982,21,6,1011,2,0,50110083,하효동
3983,21,6,1011,3,0,50110083,하효동
3984,21,6,1011,4,0,50110083,하효동
3985,21,6,1011,5,0,50110083,하효동
3986,21,6,1011,6,0,50110083,하효동
3987,21,6,1011,7,0,50110083,하효동
3988,21,6,1011,8,0,50110083,하효동
3989,21,6,1011,9,0,50110083,하효동
3990,21,6,1011,10,0,50110083,하효동
3991,21,6,1011,11,0,50110083,하효동
3992,21,6,1011,12,0,50110083,하효동
3993,21,6,1011,13,0,50110083,하효동
3994,21,6,1011,14,0,50110083,하효동
3995,21,6,1011,15,0,50110083,하효동
3996,21,6,1011,16,0,50110083,하효동
3997,21,6,1011,17,0,50110083,하효동
3998,21,6,1011,18,0,50110083,하효동
3999,21,6,1011,19,0,50110083,하효동
4000,21,6,1011,20,0,50110083,하효동
4001,21,6,1011,21,0,50110083,하효동
4002,21,6,1011,22,0,50110083,하효동
4003,21,6,1011,23,0,50110083,하효동
4004,21,0,1012,0,0,50110083,하효동
4005,21,0,1012,1,0,50110083,하효동
4006,21,0,1012,2,0,50110083,하효동
4007,21,0,1012,3,0,50110083,하효동
4008,21,0,1012,4,0,50110083,하효동
4009,21,0,1012,5,0,50110083,하효동
4010,21,0,1012,6,0,50110083,하효동
4011,21,0,1012,7,0,50110083,하효동
4012,21,0,1012,8,0,50110083,하효동
4013,21,0,1012,9,0,50110083,하효동
4014,21,0,1012,10,0,50110083,하효동
4015,21,0,1012,11,0,50110083,하효동
4016,21,0,1012,12,0,50110083,하효동
4017,21,0,1012,13,0,50110083,하효동
4018,21,0,1012,14,1,50110083,하효동
4019,21,0,1012,14,1,50110083,하효동
4020,21,0,1012,14,0,50110083,하효동
4021,21,0,1012,15,0,50110083,하효동
4022,21,0,1012,16,1,50110083,하효동
4023,21,0,1012,17,0,50110083,하효동
4024,21,0,1012,18,0,50110083,하효동
4025,21,0,1012,19,0,50110083,하효동
4026,21,0,1012,20,0,50110083,하효동
4027,21,0,1012,21,0,50110083,하효동
4028,21,0,1012,22,0,50110083,하효동
4029,21,0,1012,23,0,50110083,하효동
4030,21,1,1013,0,0,50110083,하효동
4031,21,1,1013,1,0,50110083,하효동
4032,21,1,1013,2,0,50110083,하효동
4033,21,1,1013,3,0,50110083,하효동
4034,21,1,1013,4,0,50110083,하효동
4035,21,1,1013,5,0,50110083,하효동
4036,21,1,1013,6,0,50110083,하효동
4037,21,1,1013,7,0,50110083,하효동
4038,21,1,1013,8,0,50110083,하효동
4039,21,1,1013,9,0,50110083,하효동
4040,21,1,1013,10,1,50110083,하효동
4041,21,1,1013,10,0,50110083,하효동
4042,21,1,1013,11,1,50110083,하효동
4043,21,1,1013,12,1,50110083,하효동
