,week,time,use,sid,count
0,1,18,1,50110054,1
1,1,19,0,50110054,1
2,1,19,0,50110054,1
3,1,20,0,50110054,1
4,1,20,0,50110054,1
5,1,21,0,50110054,1
6,1,21,0,50110054,1
7,1,22,0,50110054,1
8,1,22,0,50110054,1
9,1,23,0,50110054,1
10,1,23,0,50110054,1
11,2,0,0,50110054,1
12,2,0,0,50110054,1
13,2,1,0,50110054,1
14,2,1,0,50110054,1
15,2,2,0,50110054,1
16,2,2,0,50110054,1
17,2,3,0,50110054,1
18,2,3,0,50110054,1
19,2,4,0,50110054,1
20,2,4,0,50110054,1
21,2,5,0,50110054,1
22,2,5,0,50110054,1
23,2,6,0,50110054,1
24,2,6,0,50110054,1
25,2,7,0,50110054,1
26,2,7,0,50110054,1
27,2,8,0,50110054,1
28,2,8,0,50110054,1
29,2,9,0,50110054,1
30,2,9,0,50110054,1
31,2,10,0,50110054,1
32,2,10,0,50110054,1
33,2,11,0,50110054,1
34,2,11,0,50110054,1
35,2,12,0,50110054,1
36,2,12,0,50110054,1
37,2,13,1,50110054,1
38,2,13,1,50110054,1
39,2,14,1,50110054,1
40,2,15,1,50110054,1
41,2,16,1,50110054,1
42,2,17,1,50110054,1
43,2,18,0,50110054,1
44,2,18,0,50110054,1
45,2,19,0,50110054,1
46,2,19,0,50110054,1
47,2,20,0,50110054,1
48,2,20,0,50110054,1
49,2,21,0,50110054,1
50,2,21,0,50110054,1
51,2,22,0,50110054,1
52,2,22,0,50110054,1
53,2,23,0,50110054,1
54,2,23,0,50110054,1
55,3,0,0,50110054,1
56,3,0,0,50110054,1
57,3,1,0,50110054,1
58,3,1,0,50110054,1
59,3,2,0,50110054,1
60,3,2,0,50110054,1
61,3,3,0,50110054,1
62,3,3,0,50110054,1
63,3,4,0,50110054,1
64,3,4,0,50110054,1
65,3,5,1,50110054,1
66,3,6,0,50110054,1
67,3,6,0,50110054,1
68,3,7,0,50110054,1
69,3,7,0,50110054,1
70,3,8,0,50110054,1
71,3,8,0,50110054,1
72,3,9,0,50110054,1
73,3,9,0,50110054,1
74,3,10,1,50110054,1
75,3,10,0,50110054,1
76,3,10,0,50110054,1
77,3,11,1,50110054,1
78,3,12,1,50110054,1
79,3,13,0,50110054,1
80,3,13,0,50110054,1
81,3,14,0,50110054,1
82,3,14,0,50110054,1
83,3,15,0,50110054,1
84,3,15,0,50110054,1
85,3,16,0,50110054,1
86,3,17,0,50110054,1
87,3,17,0,50110054,1
88,3,18,0,50110054,1
89,3,18,0,50110054,1
90,3,19,0,50110054,1
91,3,19,0,50110054,1
92,3,20,0,50110054,1
93,3,20,0,50110054,1
94,3,21,0,50110054,1
95,3,21,0,50110054,1
96,3,22,0,50110054,1
97,3,22,0,50110054,1
98,3,23,0,50110054,1
99,3,23,0,50110054,1
100,4,0,0,50110054,1
101,4,0,0,50110054,1
102,4,1,0,50110054,1
103,4,2,0,50110054,1
104,4,3,0,50110054,1
105,4,4,0,50110054,1
106,4,5,0,50110054,1
107,4,6,0,50110054,1
108,4,7,0,50110054,1
109,4,8,0,50110054,1
110,4,9,0,50110054,1
111,4,10,0,50110054,1
112,4,11,0,50110054,1
113,4,12,0,50110054,1
114,4,13,0,50110054,1
115,4,14,0,50110054,1
116,4,15,0,50110054,1
117,4,16,0,50110054,1
118,4,17,0,50110054,1
119,4,18,0,50110054,1
120,4,19,0,50110054,1
121,4,20,0,50110054,1
122,4,21,0,50110054,1
123,4,22,0,50110054,1
124,4,23,0,50110054,1
125,5,0,0,50110054,1
126,5,1,0,50110054,1
127,5,2,0,50110054,1
128,5,3,0,50110054,1
129,5,4,0,50110054,1
130,5,5,0,50110054,1
131,5,6,0,50110054,1
132,5,7,0,50110054,1
133,5,8,0,50110054,1
134,5,9,0,50110054,1
135,5,10,0,50110054,1
136,5,11,0,50110054,1
137,5,12,0,50110054,1
138,5,13,0,50110054,1
139,5,14,0,50110054,1
140,5,15,0,50110054,1
141,5,16,0,50110054,1
142,5,17,0,50110054,1
143,5,18,0,50110054,1
144,5,19,0,50110054,1
145,5,20,0,50110054,1
146,5,21,0,50110054,1
147,5,22,0,50110054,1
148,5,23,0,50110054,1
149,6,0,0,50110054,1
150,6,1,0,50110054,1
151,6,2,0,50110054,1
152,6,3,0,50110054,1
153,6,4,0,50110054,1
154,6,5,0,50110054,1
155,6,6,0,50110054,1
156,6,7,0,50110054,1
157,6,8,0,50110054,1
158,6,9,0,50110054,1
159,6,10,0,50110054,1
160,6,11,0,50110054,1
161,6,12,0,50110054,1
162,6,13,0,50110054,1
163,6,14,0,50110054,1
164,6,15,0,50110054,1
165,6,16,0,50110054,1
