,do,현차량,미래차량,현재충전기,현재필요충전기,미래필요충전기,오차
0,강원도,3219.52,4515.1396,322,67,94,0.2919254658385093
1,경기도,17789.883,27238.555,431,370,567,1.3155452436194897
2,경상남도,5187.2515,7484.1636,262,108,156,0.5954198473282443
3,경상북도,5573.46,8131.8984,426,116,169,0.3967136150234742
4,광주광역시,3137.5955,4320.6143,67,65,90,1.3432835820895523
5,대구광역시,13714.723,19102.797,104,286,398,3.826923076923077
6,대전광역시,3506.7373,5149.456,95,73,107,1.1263157894736842
7,부산광역시,4671.588,7309.6553,79,97,152,1.9240506329113924
8,서울특별시,21925.843999999997,33836.79,248,457,705,2.842741935483871
9,세종특별자치시,1132.5188,1508.9034,32,24,31,0.96875
10,울산광역시,2265.3184,3647.2522,99,47,76,0.7676767676767676
11,인천광역시,4254.6475,6794.291,119,92,142,1.1932773109243697
12,전라남도,4654.3276,6579.838000000001,347,97,137,0.39481268011527376
13,전라북도,2987.9155,4619.657999999999,237,62,96,0.4050632911392405
14,제주특별자치도,20673.354,24638.646,246,431,513,2.0853658536585367
15,충청남도,4328.225,6606.9688,256,90,138,0.5390625
16,충청북도,3470.489,5147.6577,222,62,107,0.481981981981982
