,cid,week,day,time,use,sid,gu
685,4,1,1006,18,1,50110054,한경면
686,4,1,1006,19,0,50110054,한경면
687,4,1,1006,20,0,50110054,한경면
688,4,1,1006,21,0,50110054,한경면
689,4,1,1006,22,0,50110054,한경면
690,4,1,1006,23,0,50110054,한경면
691,4,2,1007,0,0,50110054,한경면
692,4,2,1007,1,0,50110054,한경면
693,4,2,1007,2,0,50110054,한경면
694,4,2,1007,3,0,50110054,한경면
695,4,2,1007,4,0,50110054,한경면
696,4,2,1007,5,0,50110054,한경면
697,4,2,1007,6,0,50110054,한경면
698,4,2,1007,7,0,50110054,한경면
699,4,2,1007,8,0,50110054,한경면
700,4,2,1007,9,0,50110054,한경면
701,4,2,1007,10,0,50110054,한경면
702,4,2,1007,11,0,50110054,한경면
703,4,2,1007,12,0,50110054,한경면
704,4,2,1007,13,1,50110054,한경면
705,4,2,1007,14,1,50110054,한경면
706,4,2,1007,15,1,50110054,한경면
707,4,2,1007,16,1,50110054,한경면
708,4,2,1007,17,1,50110054,한경면
709,4,2,1007,18,0,50110054,한경면
710,4,2,1007,19,0,50110054,한경면
711,4,2,1007,20,0,50110054,한경면
712,4,2,1007,21,0,50110054,한경면
713,4,2,1007,22,0,50110054,한경면
714,4,2,1007,23,0,50110054,한경면
715,4,3,1008,0,0,50110054,한경면
716,4,3,1008,1,0,50110054,한경면
717,4,3,1008,2,0,50110054,한경면
718,4,3,1008,3,0,50110054,한경면
719,4,3,1008,4,0,50110054,한경면
720,4,3,1008,5,1,50110054,한경면
721,4,3,1008,6,0,50110054,한경면
722,4,3,1008,7,0,50110054,한경면
723,4,3,1008,8,0,50110054,한경면
724,4,3,1008,9,0,50110054,한경면
725,4,3,1008,10,1,50110054,한경면
726,4,3,1008,10,0,50110054,한경면
727,4,3,1008,11,1,50110054,한경면
728,4,3,1008,12,1,50110054,한경면
729,4,3,1008,13,0,50110054,한경면
730,4,3,1008,14,0,50110054,한경면
731,4,3,1008,15,0,50110054,한경면
732,4,3,1008,16,0,50110054,한경면
733,4,3,1008,17,0,50110054,한경면
734,4,3,1008,18,0,50110054,한경면
735,4,3,1008,19,0,50110054,한경면
736,4,3,1008,20,0,50110054,한경면
737,4,3,1008,21,0,50110054,한경면
738,4,3,1008,22,0,50110054,한경면
739,4,3,1008,23,0,50110054,한경면
740,4,4,1009,0,0,50110054,한경면
741,4,4,1009,1,0,50110054,한경면
742,4,4,1009,2,0,50110054,한경면
743,4,4,1009,3,0,50110054,한경면
744,4,4,1009,4,0,50110054,한경면
745,4,4,1009,5,0,50110054,한경면
746,4,4,1009,6,0,50110054,한경면
747,4,4,1009,7,0,50110054,한경면
748,4,4,1009,8,0,50110054,한경면
749,4,4,1009,9,0,50110054,한경면
750,4,4,1009,10,0,50110054,한경면
751,4,4,1009,11,0,50110054,한경면
752,4,4,1009,12,0,50110054,한경면
753,4,4,1009,13,0,50110054,한경면
754,4,4,1009,14,0,50110054,한경면
755,4,4,1009,15,0,50110054,한경면
756,4,4,1009,16,0,50110054,한경면
757,4,4,1009,17,0,50110054,한경면
758,4,4,1009,18,0,50110054,한경면
759,4,4,1009,19,0,50110054,한경면
760,4,4,1009,20,0,50110054,한경면
761,4,4,1009,21,0,50110054,한경면
762,4,4,1009,22,0,50110054,한경면
763,4,4,1009,23,0,50110054,한경면
764,4,5,1010,0,0,50110054,한경면
765,4,5,1010,1,0,50110054,한경면
766,4,5,1010,2,0,50110054,한경면
767,4,5,1010,3,0,50110054,한경면
768,4,5,1010,4,0,50110054,한경면
769,4,5,1010,5,0,50110054,한경면
770,4,5,1010,6,0,50110054,한경면
771,4,5,1010,7,0,50110054,한경면
772,4,5,1010,8,0,50110054,한경면
773,4,5,1010,9,0,50110054,한경면
774,4,5,1010,10,0,50110054,한경면
775,4,5,1010,11,0,50110054,한경면
776,4,5,1010,12,0,50110054,한경면
777,4,5,1010,13,0,50110054,한경면
778,4,5,1010,14,0,50110054,한경면
779,4,5,1010,15,0,50110054,한경면
780,4,5,1010,16,0,50110054,한경면
781,4,5,1010,17,0,50110054,한경면
782,4,5,1010,18,0,50110054,한경면
783,4,5,1010,19,0,50110054,한경면
