,cid,week,day,time,use,sid,gu
442,3,1,1006,17,1,50110053,조천읍
443,3,1,1006,17,0,50110053,조천읍
444,3,1,1006,18,0,50110053,조천읍
445,3,1,1006,19,0,50110053,조천읍
446,3,1,1006,20,0,50110053,조천읍
447,3,1,1006,21,0,50110053,조천읍
448,3,1,1006,22,0,50110053,조천읍
449,3,1,1006,23,0,50110053,조천읍
450,3,2,1007,0,0,50110053,조천읍
451,3,2,1007,1,0,50110053,조천읍
452,3,2,1007,2,0,50110053,조천읍
453,3,2,1007,3,0,50110053,조천읍
454,3,2,1007,4,0,50110053,조천읍
455,3,2,1007,5,0,50110053,조천읍
456,3,2,1007,6,0,50110053,조천읍
457,3,2,1007,7,0,50110053,조천읍
458,3,2,1007,8,0,50110053,조천읍
459,3,2,1007,9,0,50110053,조천읍
460,3,2,1007,10,0,50110053,조천읍
461,3,2,1007,11,1,50110053,조천읍
462,3,2,1007,11,1,50110053,조천읍
463,3,2,1007,11,0,50110053,조천읍
464,3,2,1007,12,0,50110053,조천읍
465,3,2,1007,13,0,50110053,조천읍
466,3,2,1007,14,0,50110053,조천읍
467,3,2,1007,15,0,50110053,조천읍
468,3,2,1007,16,0,50110053,조천읍
469,3,2,1007,17,0,50110053,조천읍
470,3,2,1007,18,0,50110053,조천읍
471,3,2,1007,19,0,50110053,조천읍
472,3,2,1007,20,0,50110053,조천읍
473,3,2,1007,21,0,50110053,조천읍
474,3,2,1007,22,0,50110053,조천읍
475,3,2,1007,23,0,50110053,조천읍
476,3,3,1008,0,0,50110053,조천읍
477,3,3,1008,1,0,50110053,조천읍
478,3,3,1008,2,0,50110053,조천읍
479,3,3,1008,3,0,50110053,조천읍
480,3,3,1008,4,0,50110053,조천읍
481,3,3,1008,5,0,50110053,조천읍
482,3,3,1008,6,0,50110053,조천읍
483,3,3,1008,7,0,50110053,조천읍
484,3,3,1008,8,0,50110053,조천읍
485,3,3,1008,9,0,50110053,조천읍
486,3,3,1008,10,1,50110053,조천읍
487,3,3,1008,10,0,50110053,조천읍
488,3,3,1008,11,0,50110053,조천읍
489,3,3,1008,12,0,50110053,조천읍
490,3,3,1008,13,1,50110053,조천읍
491,3,3,1008,13,0,50110053,조천읍
492,3,3,1008,14,0,50110053,조천읍
493,3,3,1008,15,0,50110053,조천읍
494,3,3,1008,16,0,50110053,조천읍
495,3,3,1008,17,0,50110053,조천읍
496,3,3,1008,18,0,50110053,조천읍
497,3,3,1008,19,0,50110053,조천읍
