,cid,week,day,time,use,sid,gu
8710,44,1,1006,16,1,50130013,안덕면
8711,44,1,1006,17,1,50130013,안덕면
8712,44,1,1006,17,1,50130013,안덕면
8713,44,1,1006,17,0,50130013,안덕면
8714,44,1,1006,18,0,50130013,안덕면
8715,44,1,1006,19,0,50130013,안덕면
8716,44,1,1006,20,0,50130013,안덕면
8717,44,1,1006,21,0,50130013,안덕면
8718,44,1,1006,22,0,50130013,안덕면
8719,44,1,1006,23,1,50130013,안덕면
8720,44,2,1007,0,1,50130013,안덕면
8721,44,2,1007,0,1,50130013,안덕면
8722,44,2,1007,0,0,50130013,안덕면
8723,44,2,1007,1,0,50130013,안덕면
8724,44,2,1007,2,0,50130013,안덕면
8725,44,2,1007,3,0,50130013,안덕면
8726,44,2,1007,4,0,50130013,안덕면
8727,44,2,1007,5,0,50130013,안덕면
8728,44,2,1007,6,0,50130013,안덕면
8729,44,2,1007,7,1,50130013,안덕면
8730,44,2,1007,8,0,50130013,안덕면
8731,44,2,1007,9,0,50130013,안덕면
8732,44,2,1007,10,0,50130013,안덕면
8733,44,2,1007,11,1,50130013,안덕면
8734,44,2,1007,11,0,50130013,안덕면
8735,44,2,1007,12,0,50130013,안덕면
8736,44,2,1007,13,1,50130013,안덕면
8737,44,2,1007,13,0,50130013,안덕면
8738,44,2,1007,14,1,50130013,안덕면
8739,44,2,1007,14,0,50130013,안덕면
8740,44,2,1007,15,1,50130013,안덕면
8741,44,2,1007,15,1,50130013,안덕면
8742,44,2,1007,15,1,50130013,안덕면
8743,44,2,1007,15,0,50130013,안덕면
8744,44,2,1007,16,0,50130013,안덕면
8745,44,2,1007,17,1,50130013,안덕면
8746,44,2,1007,18,0,50130013,안덕면
8747,44,2,1007,19,0,50130013,안덕면
8748,44,2,1007,20,0,50130013,안덕면
8749,44,2,1007,21,0,50130013,안덕면
8750,44,2,1007,22,0,50130013,안덕면
8751,44,2,1007,23,1,50130013,안덕면
8752,44,3,1008,0,0,50130013,안덕면
8753,44,3,1008,1,0,50130013,안덕면
8754,44,3,1008,2,0,50130013,안덕면
8755,44,3,1008,3,0,50130013,안덕면
8756,44,3,1008,4,0,50130013,안덕면
8757,44,3,1008,5,0,50130013,안덕면
8758,44,3,1008,6,0,50130013,안덕면
8759,44,3,1008,7,0,50130013,안덕면
8760,44,3,1008,8,0,50130013,안덕면
8761,44,3,1008,9,1,50130013,안덕면
8762,44,3,1008,9,0,50130013,안덕면
8763,44,3,1008,10,1,50130013,안덕면
8764,44,3,1008,10,0,50130013,안덕면
8765,44,3,1008,11,0,50130013,안덕면
8766,44,3,1008,12,0,50130013,안덕면
8767,44,3,1008,13,0,50130013,안덕면
8768,44,3,1008,14,0,50130013,안덕면
8769,44,3,1008,15,0,50130013,안덕면
8770,44,3,1008,16,0,50130013,안덕면
8771,44,3,1008,17,0,50130013,안덕면
8772,44,3,1008,18,0,50130013,안덕면
8773,44,3,1008,19,0,50130013,안덕면
8774,44,3,1008,20,0,50130013,안덕면
8775,44,3,1008,21,0,50130013,안덕면
8776,44,3,1008,22,0,50130013,안덕면
8777,44,3,1008,23,0,50130013,안덕면
8778,44,4,1009,0,0,50130013,안덕면
8779,44,4,1009,1,0,50130013,안덕면
8780,44,4,1009,2,0,50130013,안덕면
8781,44,4,1009,3,0,50130013,안덕면
8782,44,4,1009,4,0,50130013,안덕면
8783,44,4,1009,5,0,50130013,안덕면
8784,44,4,1009,6,0,50130013,안덕면
8785,44,4,1009,7,0,50130013,안덕면
8786,44,4,1009,8,0,50130013,안덕면
8787,44,4,1009,9,0,50130013,안덕면
8788,44,4,1009,10,0,50130013,안덕면
8789,44,4,1009,11,0,50130013,안덕면
8790,44,4,1009,12,0,50130013,안덕면
8791,44,4,1009,13,0,50130013,안덕면
8792,44,4,1009,14,0,50130013,안덕면
8793,44,4,1009,15,0,50130013,안덕면
8794,44,4,1009,16,0,50130013,안덕면
8795,44,4,1009,17,0,50130013,안덕면
8796,44,4,1009,18,0,50130013,안덕면
8797,44,4,1009,19,0,50130013,안덕면
8798,44,4,1009,20,0,50130013,안덕면
8799,44,4,1009,21,0,50130013,안덕면
8800,44,4,1009,22,0,50130013,안덕면
8801,44,4,1009,23,0,50130013,안덕면
8802,44,5,1010,0,0,50130013,안덕면
8803,44,5,1010,1,0,50130013,안덕면
8804,44,5,1010,2,0,50130013,안덕면
8805,44,5,1010,3,0,50130013,안덕면
8806,44,5,1010,4,0,50130013,안덕면
8807,44,5,1010,5,0,50130013,안덕면
8808,44,5,1010,6,0,50130013,안덕면
8809,44,5,1010,7,0,50130013,안덕면
8810,44,5,1010,8,0,50130013,안덕면
8811,44,5,1010,9,0,50130013,안덕면
8812,44,5,1010,10,0,50130013,안덕면
8813,44,5,1010,11,0,50130013,안덕면
8814,44,5,1010,12,0,50130013,안덕면
8815,44,5,1010,13,0,50130013,안덕면
8816,44,5,1010,14,0,50130013,안덕면
8817,44,5,1010,15,0,50130013,안덕면
8818,44,5,1010,16,0,50130013,안덕면
8819,44,5,1010,17,0,50130013,안덕면
8820,44,5,1010,18,0,50130013,안덕면
8821,44,5,1010,19,0,50130013,안덕면
8822,44,5,1010,20,0,50130013,안덕면
8823,44,5,1010,21,0,50130013,안덕면
8824,44,5,1010,22,0,50130013,안덕면
8825,44,5,1010,23,0,50130013,안덕면
8826,44,6,1011,0,0,50130013,안덕면
8827,44,6,1011,1,0,50130013,안덕면
8828,44,6,1011,2,0,50130013,안덕면
8829,44,6,1011,3,0,50130013,안덕면
8830,44,6,1011,4,0,50130013,안덕면
8831,44,6,1011,5,0,50130013,안덕면
8832,44,6,1011,6,0,50130013,안덕면
8833,44,6,1011,7,0,50130013,안덕면
8834,44,6,1011,8,0,50130013,안덕면
8835,44,6,1011,9,0,50130013,안덕면
8836,44,6,1011,10,0,50130013,안덕면
8837,44,6,1011,11,0,50130013,안덕면
8838,44,6,1011,12,0,50130013,안덕면
8839,44,6,1011,13,0,50130013,안덕면
8840,44,6,1011,14,0,50130013,안덕면
8841,44,6,1011,15,0,50130013,안덕면
8842,44,6,1011,16,0,50130013,안덕면
8843,44,6,1011,17,0,50130013,안덕면
8844,44,6,1011,18,0,50130013,안덕면
8845,44,6,1011,19,0,50130013,안덕면
8846,44,6,1011,20,0,50130013,안덕면
8847,44,6,1011,21,0,50130013,안덕면
8848,44,6,1011,22,0,50130013,안덕면
8849,44,6,1011,23,0,50130013,안덕면
8850,44,0,1012,0,0,50130013,안덕면
8851,44,0,1012,1,0,50130013,안덕면
8852,44,0,1012,2,0,50130013,안덕면
8853,44,0,1012,3,0,50130013,안덕면
8854,44,0,1012,4,0,50130013,안덕면
8855,44,0,1012,5,0,50130013,안덕면
8856,44,0,1012,6,0,50130013,안덕면
8857,44,0,1012,7,0,50130013,안덕면
8858,44,0,1012,8,0,50130013,안덕면
8859,44,0,1012,9,0,50130013,안덕면
8860,44,0,1012,10,0,50130013,안덕면
8861,44,0,1012,11,0,50130013,안덕면
8862,44,0,1012,12,0,50130013,안덕면
8863,44,0,1012,13,0,50130013,안덕면
8864,44,0,1012,14,1,50130013,안덕면
8865,44,0,1012,14,0,50130013,안덕면
8866,44,0,1012,15,0,50130013,안덕면
8867,44,0,1012,16,0,50130013,안덕면
8868,44,0,1012,17,0,50130013,안덕면
8869,44,0,1012,18,1,50130013,안덕면
8870,44,0,1012,19,0,50130013,안덕면
8871,44,0,1012,20,0,50130013,안덕면
8872,44,0,1012,21,0,50130013,안덕면
8873,44,0,1012,22,0,50130013,안덕면
8874,44,0,1012,23,1,50130013,안덕면
8875,44,1,1013,0,1,50130013,안덕면
8876,44,1,1013,0,1,50130013,안덕면
8877,44,1,1013,0,0,50130013,안덕면
8878,44,1,1013,1,0,50130013,안덕면
8879,44,1,1013,2,0,50130013,안덕면
8880,44,1,1013,3,0,50130013,안덕면
8881,44,1,1013,4,0,50130013,안덕면
8882,44,1,1013,5,0,50130013,안덕면
8883,44,1,1013,6,0,50130013,안덕면
8884,44,1,1013,7,0,50130013,안덕면
8885,44,1,1013,8,0,50130013,안덕면
8886,44,1,1013,9,0,50130013,안덕면
8887,44,1,1013,10,1,50130013,안덕면
8888,44,1,1013,11,0,50130013,안덕면
8889,44,1,1013,12,1,50130013,안덕면
8890,44,1,1013,12,0,50130013,안덕면
8891,44,1,1013,13,0,50130013,안덕면
8892,44,1,1013,14,1,50130013,안덕면
8893,44,1,1013,15,0,50130013,안덕면
8894,44,1,1013,16,1,50130013,안덕면
8895,44,1,1013,17,0,50130013,안덕면
8896,44,1,1013,18,1,50130013,안덕면
8897,44,1,1013,19,0,50130013,안덕면
8898,44,1,1013,20,0,50130013,안덕면
8899,44,1,1013,21,0,50130013,안덕면
8900,44,1,1013,22,0,50130013,안덕면
8901,44,1,1013,23,0,50130013,안덕면
8902,44,2,1014,0,0,50130013,안덕면
8903,44,2,1014,1,0,50130013,안덕면
8904,44,2,1014,2,0,50130013,안덕면
8905,44,2,1014,3,0,50130013,안덕면
8906,44,2,1014,4,0,50130013,안덕면
8907,44,2,1014,5,0,50130013,안덕면
8908,44,2,1014,6,0,50130013,안덕면
8909,44,2,1014,7,0,50130013,안덕면
8910,44,2,1014,8,0,50130013,안덕면
8911,44,2,1014,9,0,50130013,안덕면
8912,44,2,1014,10,0,50130013,안덕면
8913,44,2,1014,11,0,50130013,안덕면
8914,44,2,1014,12,0,50130013,안덕면
8915,44,2,1014,13,0,50130013,안덕면
8916,44,2,1014,14,0,50130013,안덕면
8917,44,2,1014,15,1,50130013,안덕면
8918,44,2,1014,16,0,50130013,안덕면
8919,44,2,1014,17,0,50130013,안덕면
8920,44,2,1014,18,0,50130013,안덕면
8921,44,2,1014,19,0,50130013,안덕면
8922,44,2,1014,20,0,50130013,안덕면
8923,44,2,1014,21,0,50130013,안덕면
8924,44,2,1014,22,0,50130013,안덕면
8925,44,2,1014,23,0,50130013,안덕면
8926,44,3,1015,0,0,50130013,안덕면
8927,44,3,1015,1,0,50130013,안덕면
8928,44,3,1015,2,0,50130013,안덕면
8929,44,3,1015,3,0,50130013,안덕면
8930,44,3,1015,4,0,50130013,안덕면
8931,44,3,1015,5,0,50130013,안덕면
8932,44,3,1015,6,0,50130013,안덕면
8933,44,3,1015,7,0,50130013,안덕면
8934,44,3,1015,8,0,50130013,안덕면
8935,44,3,1015,9,0,50130013,안덕면
8936,44,3,1015,10,0,50130013,안덕면
8937,44,3,1015,11,0,50130013,안덕면
8938,44,3,1015,12,0,50130013,안덕면
8939,44,3,1015,13,0,50130013,안덕면
8940,44,3,1015,14,1,50130013,안덕면
8941,44,3,1015,15,0,50130013,안덕면
8942,44,3,1015,16,0,50130013,안덕면
8943,44,3,1015,17,1,50130013,안덕면
8944,44,3,1015,18,0,50130013,안덕면
8945,44,3,1015,19,1,50130013,안덕면
8946,44,3,1015,19,0,50130013,안덕면
9056,47,1,1006,16,1,50130021,중문동
9057,47,1,1006,16,0,50130021,중문동
9058,47,1,1006,17,0,50130021,중문동
9059,47,1,1006,18,0,50130021,중문동
9060,47,1,1006,19,0,50130021,중문동
9061,47,1,1006,20,0,50130021,중문동
9062,47,1,1006,21,0,50130021,중문동
9063,47,1,1006,22,0,50130021,중문동
9064,47,1,1006,23,0,50130021,중문동
9065,47,2,1007,0,0,50130021,중문동
9066,47,2,1007,1,0,50130021,중문동
9067,47,2,1007,2,0,50130021,중문동
9068,47,2,1007,3,0,50130021,중문동
9069,47,2,1007,4,0,50130021,중문동
9070,47,2,1007,5,0,50130021,중문동
9071,47,2,1007,6,0,50130021,중문동
9072,47,2,1007,7,0,50130021,중문동
9073,47,2,1007,8,0,50130021,중문동
9074,47,2,1007,9,0,50130021,중문동
9075,47,2,1007,10,0,50130021,중문동
9076,47,2,1007,11,1,50130021,중문동
9077,47,2,1007,12,0,50130021,중문동
9078,47,2,1007,13,1,50130021,중문동
9079,47,2,1007,13,0,50130021,중문동
9080,47,2,1007,14,1,50130021,중문동
9081,47,2,1007,14,0,50130021,중문동
9082,47,2,1007,15,0,50130021,중문동
9083,47,2,1007,16,0,50130021,중문동
9084,47,2,1007,17,0,50130021,중문동
9085,47,2,1007,18,1,50130021,중문동
9086,47,2,1007,19,0,50130021,중문동
9087,47,2,1007,20,0,50130021,중문동
9088,47,2,1007,21,0,50130021,중문동
9089,47,2,1007,22,0,50130021,중문동
9090,47,2,1007,23,0,50130021,중문동
9091,47,3,1008,0,0,50130021,중문동
9092,47,3,1008,1,0,50130021,중문동
9093,47,3,1008,2,0,50130021,중문동
9094,47,3,1008,3,0,50130021,중문동
9095,47,3,1008,4,0,50130021,중문동
9096,47,3,1008,5,0,50130021,중문동
9097,47,3,1008,6,0,50130021,중문동
9098,47,3,1008,7,0,50130021,중문동
9099,47,3,1008,8,0,50130021,중문동
9100,47,3,1008,9,0,50130021,중문동
9101,47,3,1008,10,0,50130021,중문동
9102,47,3,1008,11,0,50130021,중문동
9103,47,3,1008,12,1,50130021,중문동
9104,47,3,1008,13,0,50130021,중문동
9105,47,3,1008,14,0,50130021,중문동
9106,47,3,1008,15,0,50130021,중문동
9107,47,3,1008,16,0,50130021,중문동
9108,47,3,1008,17,0,50130021,중문동
9109,47,3,1008,18,0,50130021,중문동
9110,47,3,1008,19,0,50130021,중문동
9111,47,3,1008,20,0,50130021,중문동
9112,47,3,1008,21,0,50130021,중문동
9113,47,3,1008,22,0,50130021,중문동
9114,47,3,1008,23,0,50130021,중문동
9115,47,4,1009,0,0,50130021,중문동
9116,47,4,1009,1,0,50130021,중문동
9117,47,4,1009,2,0,50130021,중문동
9118,47,4,1009,3,0,50130021,중문동
9119,47,4,1009,4,0,50130021,중문동
9120,47,4,1009,5,0,50130021,중문동
9121,47,4,1009,6,0,50130021,중문동
9122,47,4,1009,7,0,50130021,중문동
9123,47,4,1009,8,0,50130021,중문동
9124,47,4,1009,9,0,50130021,중문동
9125,47,4,1009,10,0,50130021,중문동
9126,47,4,1009,11,0,50130021,중문동
9127,47,4,1009,12,0,50130021,중문동
9128,47,4,1009,13,0,50130021,중문동
9129,47,4,1009,14,0,50130021,중문동
9130,47,4,1009,15,0,50130021,중문동
9131,47,4,1009,16,0,50130021,중문동
9132,47,4,1009,17,0,50130021,중문동
9133,47,4,1009,18,0,50130021,중문동
9134,47,4,1009,19,0,50130021,중문동
9135,47,4,1009,20,0,50130021,중문동
9136,47,4,1009,21,0,50130021,중문동
9137,47,4,1009,22,0,50130021,중문동
9138,47,4,1009,23,0,50130021,중문동
9139,47,5,1010,0,0,50130021,중문동
9140,47,5,1010,1,0,50130021,중문동
9141,47,5,1010,2,0,50130021,중문동
9142,47,5,1010,3,0,50130021,중문동
9143,47,5,1010,4,0,50130021,중문동
9144,47,5,1010,5,0,50130021,중문동
9145,47,5,1010,6,0,50130021,중문동
9146,47,5,1010,7,0,50130021,중문동
9147,47,5,1010,8,0,50130021,중문동
9148,47,5,1010,9,0,50130021,중문동
9149,47,5,1010,10,0,50130021,중문동
9150,47,5,1010,11,0,50130021,중문동
9151,47,5,1010,12,0,50130021,중문동
9152,47,5,1010,13,0,50130021,중문동
9153,47,5,1010,14,0,50130021,중문동
9154,47,5,1010,15,0,50130021,중문동
9155,47,5,1010,16,0,50130021,중문동
9156,47,5,1010,17,0,50130021,중문동
9157,47,5,1010,18,0,50130021,중문동
9158,47,5,1010,19,0,50130021,중문동
9159,47,5,1010,20,0,50130021,중문동
9160,47,5,1010,21,0,50130021,중문동
9161,47,5,1010,22,0,50130021,중문동
9162,47,5,1010,23,0,50130021,중문동
9163,47,6,1011,0,0,50130021,중문동
9164,47,6,1011,1,0,50130021,중문동
9165,47,6,1011,2,0,50130021,중문동
9166,47,6,1011,3,0,50130021,중문동
9167,47,6,1011,4,0,50130021,중문동
9168,47,6,1011,5,0,50130021,중문동
9169,47,6,1011,6,0,50130021,중문동
9170,47,6,1011,7,0,50130021,중문동
9171,47,6,1011,8,0,50130021,중문동
9172,47,6,1011,9,0,50130021,중문동
9173,47,6,1011,10,0,50130021,중문동
9174,47,6,1011,11,0,50130021,중문동
9175,47,6,1011,12,0,50130021,중문동
9176,47,6,1011,13,0,50130021,중문동
9177,47,6,1011,14,0,50130021,중문동
9178,47,6,1011,15,0,50130021,중문동
9179,47,6,1011,16,0,50130021,중문동
9180,47,6,1011,17,0,50130021,중문동
9181,47,6,1011,18,0,50130021,중문동
9182,47,6,1011,19,0,50130021,중문동
9183,47,6,1011,20,0,50130021,중문동
9184,47,6,1011,21,0,50130021,중문동
9185,47,6,1011,22,0,50130021,중문동
9186,47,6,1011,23,0,50130021,중문동
9187,47,0,1012,0,0,50130021,중문동
9188,47,0,1012,1,0,50130021,중문동
9189,47,0,1012,2,0,50130021,중문동
9190,47,0,1012,3,0,50130021,중문동
9191,47,0,1012,4,0,50130021,중문동
9192,47,0,1012,5,0,50130021,중문동
9193,47,0,1012,6,0,50130021,중문동
9194,47,0,1012,7,0,50130021,중문동
9195,47,0,1012,8,0,50130021,중문동
9196,47,0,1012,9,0,50130021,중문동
