,cid,week,day,time,use,sid,gu
8454,43,1,1006,17,1,50130009,표선면
8455,43,1,1006,18,0,50130009,표선면
8456,43,1,1006,19,1,50130009,표선면
8457,43,1,1006,19,0,50130009,표선면
8458,43,1,1006,20,0,50130009,표선면
8459,43,1,1006,21,0,50130009,표선면
8460,43,1,1006,22,0,50130009,표선면
8461,43,1,1006,23,0,50130009,표선면
8462,43,2,1007,0,0,50130009,표선면
8463,43,2,1007,1,0,50130009,표선면
8464,43,2,1007,2,0,50130009,표선면
8465,43,2,1007,3,0,50130009,표선면
8466,43,2,1007,4,0,50130009,표선면
8467,43,2,1007,5,0,50130009,표선면
8468,43,2,1007,6,0,50130009,표선면
8469,43,2,1007,7,0,50130009,표선면
8470,43,2,1007,8,0,50130009,표선면
8471,43,2,1007,9,1,50130009,표선면
8472,43,2,1007,10,0,50130009,표선면
8473,43,2,1007,11,1,50130009,표선면
8474,43,2,1007,11,0,50130009,표선면
8475,43,2,1007,12,1,50130009,표선면
8476,43,2,1007,13,1,50130009,표선면
8477,43,2,1007,13,0,50130009,표선면
8478,43,2,1007,14,0,50130009,표선면
8479,43,2,1007,15,0,50130009,표선면
8480,43,2,1007,16,0,50130009,표선면
8481,43,2,1007,17,1,50130009,표선면
8482,43,2,1007,18,1,50130009,표선면
8483,43,2,1007,18,0,50130009,표선면
8484,43,2,1007,19,1,50130009,표선면
8485,43,2,1007,19,0,50130009,표선면
8486,43,2,1007,20,0,50130009,표선면
8487,43,2,1007,21,0,50130009,표선면
8488,43,2,1007,22,0,50130009,표선면
8489,43,2,1007,23,0,50130009,표선면
8490,43,3,1008,0,0,50130009,표선면
8491,43,3,1008,1,0,50130009,표선면
8492,43,3,1008,2,0,50130009,표선면
8493,43,3,1008,3,0,50130009,표선면
8494,43,3,1008,4,0,50130009,표선면
8495,43,3,1008,5,1,50130009,표선면
8496,43,3,1008,6,0,50130009,표선면
8497,43,3,1008,7,0,50130009,표선면
8498,43,3,1008,8,0,50130009,표선면
8499,43,3,1008,9,0,50130009,표선면
8500,43,3,1008,10,1,50130009,표선면
8501,43,3,1008,10,0,50130009,표선면
8502,43,3,1008,11,1,50130009,표선면
8503,43,3,1008,11,0,50130009,표선면
8504,43,3,1008,12,0,50130009,표선면
8505,43,3,1008,13,1,50130009,표선면
8506,43,3,1008,13,1,50130009,표선면
8507,43,3,1008,13,0,50130009,표선면
8508,43,3,1008,14,0,50130009,표선면
8509,43,3,1008,15,0,50130009,표선면
8510,43,3,1008,16,0,50130009,표선면
8511,43,3,1008,17,0,50130009,표선면
8512,43,3,1008,18,0,50130009,표선면
8513,43,3,1008,19,0,50130009,표선면
8514,43,3,1008,20,0,50130009,표선면
8515,43,3,1008,21,0,50130009,표선면
8516,43,3,1008,22,0,50130009,표선면
8517,43,3,1008,23,0,50130009,표선면
8518,43,4,1009,0,0,50130009,표선면
8519,43,4,1009,1,0,50130009,표선면
8520,43,4,1009,2,0,50130009,표선면
8521,43,4,1009,3,0,50130009,표선면
8522,43,4,1009,4,0,50130009,표선면
8523,43,4,1009,5,0,50130009,표선면
8524,43,4,1009,6,0,50130009,표선면
8525,43,4,1009,7,0,50130009,표선면
8526,43,4,1009,8,0,50130009,표선면
8527,43,4,1009,9,0,50130009,표선면
8528,43,4,1009,10,0,50130009,표선면
8529,43,4,1009,11,0,50130009,표선면
8530,43,4,1009,12,0,50130009,표선면
8531,43,4,1009,13,0,50130009,표선면
8532,43,4,1009,14,0,50130009,표선면
8533,43,4,1009,15,0,50130009,표선면
8534,43,4,1009,16,0,50130009,표선면
8535,43,4,1009,17,0,50130009,표선면
8536,43,4,1009,18,0,50130009,표선면
8537,43,4,1009,19,0,50130009,표선면
8538,43,4,1009,20,0,50130009,표선면
8539,43,4,1009,21,0,50130009,표선면
8540,43,4,1009,22,0,50130009,표선면
8541,43,4,1009,23,0,50130009,표선면
8542,43,5,1010,0,0,50130009,표선면
8543,43,5,1010,1,0,50130009,표선면
8544,43,5,1010,2,0,50130009,표선면
