,cid,week,day,time,use,sid,gu,DT,RF
1872,12,0,1026,14,1,50110074,건입동,0,0
4548,24,0,1026,14,1,50110103,건입동,0,0
2048,13,0,1026,14,1,50110075,노형동,0,0
2287,14,0,1026,14,1,50110075,노형동,0,0
20269,104,0,1026,14,1,ME181542,노형동,0,0
5430,29,0,1026,14,1,50110108,도남동,0,0
5646,30,0,1026,14,1,50110108,도남동,0,0
16163,84,0,1026,14,1,ME174065,도남동,0,0
16421,85,0,1026,14,1,ME174066,도남동,1,0
27207,153,0,1026,14,1,ME18A309,도남동,0,0
27217,154,0,1026,14,1,ME18A309,도남동,0,0
17483,90,0,1026,14,1,ME174072,도두1동,0,0
25429,141,0,1026,14,1,ME18A278,도련2동,0,0
25650,142,0,1026,14,1,ME18A278,도련2동,0,0
7351,37,0,1026,14,1,50110117,봉개동,1,0
22504,115,0,1026,14,1,ME184129,봉개동,0,0
23659,120,0,1026,14,1,ME18A176,봉개동,0,0
26853,151,0,1026,14,1,ME18A308,봉개동,0,0
27030,152,0,1026,14,1,ME18A308,봉개동,0,0
28356,161,0,1026,14,1,ME19B175,삼도2도,0,0
2756,16,0,1026,14,1,50110077,삼양2동,1,0
1582,10,0,1026,14,1,50110071,아라1동,0,0
6377,33,0,1026,14,1,50110112,아라1동,0,0
16652,86,0,1026,14,1,ME174067,아라1동,1,0
7832,40,0,1026,14,1,50110120,아라2동,0,0
17010,88,0,1026,14,1,ME174069,아라동,0,0
17258,89,0,1026,14,1,ME174070,아라동,1,1
0,0,0,1026,14,1,50110001,연동,0,0
411,2,0,1026,14,1,50110025,연동,0,0
7605,38,0,1026,14,1,50110118,연동,0,0
16775,87,0,1026,14,1,ME174068,연동,0,0
19554,101,0,1026,14,1,ME181538,연동,0,0
25871,143,0,1026,14,1,ME18A279,연동,1,0
25949,144,0,1026,14,1,ME18A279,연동,1,0
28599,166,0,1026,14,1,ME19B246,연동,0,0
28601,167,0,1026,14,1,ME19B246,연동,0,0
29049,170,0,1026,14,1,ME19B250,연동,0,0
29184,171,0,1026,14,1,ME19B250,연동,0,0
2526,15,0,1026,14,1,50110076,영평동,1,0
22704,116,0,1026,14,1,ME184130,오등동,0,0
3668,20,0,1026,14,1,50110082,오라1동,1,0
4325,23,0,1026,14,1,50110101,오라1동,1,0
909,5,0,1026,14,1,50110056,오라2동,1,1
6614,34,0,1026,14,1,50110113,외도1동,0,0
17731,91,0,1026,14,1,ME174073,외도1동,0,0
6111,32,0,1026,14,1,50110111,용강동,1,1
28074,159,0,1026,14,1,ME19B174,용담1동,0,0
28215,160,0,1026,14,1,ME19B174,용담1동,0,0
20538,105,0,1026,14,1,ME181544,용담2동,0,0
17991,92,0,1026,14,1,ME174074,이도1동,0,0
18230,93,0,1026,14,1,ME174075,이도1동,0,0
207,1,0,1026,14,1,50110009,이도2동,0,0
5862,31,0,1026,14,1,50110110,일도2동,1,0
7111,36,0,1026,14,1,50110115,일도2동,1,0
7830,39,0,1026,14,1,50110119,추자면,0,0
1333,8,0,1026,14,1,50110069,해안동,0,0
4803,25,0,1026,14,1,50110104,해안동,0,0
19293,100,0,1026,14,1,ME174082,화북1동,1,0
