,cid,week,day,time,use,sid,gu,DT,RF
9308,48,0,1026,14,1,50130030,대정읍,0,0
10437,53,0,1026,14,1,50130058,대정읍,0,0
23407,119,0,1026,14,1,ME18A174,대정읍,0,0
24943,133,0,1026,14,1,ME18A273,대정읍,0,0
24945,134,0,1026,14,1,ME18A273,대정읍,0,0
9733,50,0,1026,14,1,50130054,상예동,0,0
13471,67,0,1026,14,1,ME174050,색달동,1,1
13473,68,0,1026,14,1,ME174050,색달동,1,1
13475,69,0,1026,14,1,ME174050,색달동,1,1
13477,70,0,1026,14,1,ME174050,색달동,1,1
13479,71,0,1026,14,1,ME174050,색달동,1,1
24845,129,0,1026,14,1,ME18A271,색달동,0,0
24892,130,0,1026,14,1,ME18A271,색달동,0,0
8710,44,0,1026,14,1,50130013,안덕면,1,0
15201,79,0,1026,14,1,ME174058,안덕면,1,0
24939,131,0,1026,14,1,ME18A272,안덕면,0,0
24941,132,0,1026,14,1,ME18A272,안덕면,0,0
9056,47,0,1026,14,1,50130021,중문동,0,0
21747,112,0,1026,14,1,ME184126,중문동,0,0
