,cid,week,day,time,use,sid,gu,DT,RF
8249,42,0,1026,14,1,50130003,강정동,0,0
27848,158,0,1026,14,1,ME19B173,강정동,0,0
28591,162,0,1026,14,1,ME19B241,강정동,0,0
28593,163,0,1026,14,1,ME19B241,강정동,0,0
4105,22,0,1026,14,1,50110084,남원읍,0,0
11343,57,0,1026,14,1,50130063,남원읍,0,0
12839,64,0,1026,14,1,ME174045,남원읍,0,0
13053,65,0,1026,14,1,ME174046,남원읍,0,0
24841,127,0,1026,14,1,ME18A270,남원읍,1,0
24843,128,0,1026,14,1,ME18A270,남원읍,1,0
27405,156,0,1026,14,1,ME19B170,남원읍,0,0
11732,59,0,1026,14,1,50130065,동홍동,0,0
12607,63,0,1026,14,1,50130069,동홍동,0,0
21251,110,0,1026,14,1,ME184123,동홍동,0,0
28595,164,0,1026,14,1,ME19B242,동홍동,0,0
28597,165,0,1026,14,1,ME19B242,동홍동,0,0
10216,52,0,1026,14,1,50130057,법환동,1,0
13228,66,0,1026,14,1,ME174049,법환동,0,0
12434,62,0,1026,14,1,50130068,보목동,0,0
21495,111,0,1026,14,1,ME184124,상효동,0,0
24837,125,0,1026,14,1,ME18A269,상효동,0,0
24839,126,0,1026,14,1,ME18A269,상효동,1,0
12186,61,0,1026,14,1,50130067,서귀동,0,0
13481,72,0,1026,14,1,ME174051,서귀동,0,0
13741,73,0,1026,14,1,ME174053,서귀동,0,0
24951,137,0,1026,14,1,ME18A275,서귀동,0,0
25173,138,0,1026,14,1,ME18A275,서귀동,0,0
13975,74,0,1026,14,1,ME174054,서호동,0,0
24586,124,0,1026,14,1,ME18A180,서호동,0,0
8947,45,0,1026,14,1,50130016,서홍동,0,0
9984,51,0,1026,14,1,50130056,서홍동,0,0
10903,55,0,1026,14,1,50130061,서홍동,0,0
14203,75,0,1026,14,1,ME174055,서홍동,0,0
14451,76,0,1026,14,1,ME174055,서홍동,0,0
23164,118,0,1026,14,1,ME18A173,서홍동,0,0
27227,155,0,1026,14,1,ME19B169,서홍동,0,0
11958,60,0,1026,14,1,50130066,토평동,0,0
27621,157,0,1026,14,1,ME19B172,토평동,0,0
3866,21,0,1026,14,1,50110083,하효동,1,0
24947,135,0,1026,14,1,ME18A274,하효동,0,0
24949,136,0,1026,14,1,ME18A274,하효동,0,0
15507,81,0,1026,14,1,ME174062,회수동,0,0
